task,best_condition,mode,model,rmse_mean,rmse_std,mae_mean,mae_std
linear,scalar_fp32_reference,float_full,scalar,0.0029588167788460852,0.00048363061681034925,0.0018869557417929173,0.00032223264586520094
multiplicative,scalar_fp32_reference,float_full,scalar,0.0071393238380551335,0.0020371455898040326,0.0030234842794016003,0.0003548832916538159
oscillatory,scalar_fp32_reference,float_full,scalar,0.07211224623024463,0.029443650577069536,0.05834067277610302,0.025354482062425025
polynomial,scalar_fp32_reference,float_full,scalar,0.012303366046398877,0.0006191029595371196,0.009406395815312862,0.0004715663973045349
