task,mean_delta,std_delta,n
linear,0.04080544412136078,0.053402390324388815,10
multiplicative,-0.011368791759014129,0.008597641382705443,10
oscillatory,-0.050848639011383055,0.006874613379570777,10
polynomial,-0.00025337599217891695,0.0008535667696762639,10
