task,best_condition,mode,model,rmse_mean,rmse_std,mae_mean,mae_std
linear,scalar_fp32_reference,float_full,scalar,0.0023873247943508127,0.0009151552371480288,0.0008939956702912847,0.000235960180671
multiplicative,scalar_nbit_io_hidden_compute,quant_full,scalar,0.006038340041413903,0.0008518544520191621,0.0027942708305393658,0.00024909072969403305
oscillatory,scalar_fp32_reference,float_full,scalar,0.039587038258711495,0.0025198417615267745,0.031313007387022175,0.0020591615668611937
polynomial,scalar_fp32_reference,float_full,scalar,0.011469065056492886,0.0005276680589923697,0.008750489292045435,0.0003760836660423258
