task,mean_delta,std_delta,n
linear,-0.0042223334312438965,0.004163434157735108,6
multiplicative,-0.007682725787162781,0.011868804636375147,6
oscillatory,-0.07418932517369588,0.01288383972117369,6
polynomial,0.0007894368221362432,0.0006647397356475361,6
