task,mean_delta,std_delta,n,wins_a,wins_b,ties,a_better_rate,b_better_rate
linear,-0.23107437323778868,0.037661814050772395,6,6,0,0,1.0,0.0
multiplicative,-0.1713472807314247,0.01376006367026839,6,6,0,0,1.0,0.0
oscillatory,-0.44801076129078865,0.016949359019120546,6,6,0,0,1.0,0.0
polynomial,-0.02504602385063966,0.000913147626175491,6,6,0,0,1.0,0.0
