condition_name,loss_variant_name,experiment_mode,model_name,task,n,rmse_mean,rmse_std,mae_mean,mae_std,hi_word_accuracy_mean,hi_word_accuracy_std,lo_word_accuracy_mean,lo_word_accuracy_std,rmse_gap_abs_vs_upper,rmse_gap_pct_vs_upper
scalar_fp32_reference,base,float_full,scalar,all_tasks,24,0.014883949610521086,0.014996934201241208,0.010961386316921562,0.012399876987113635,,,,,0.0,0.0
scalar_nbit_io_hidden_compute,base,quant_full,scalar,all_tasks,24,0.026349046092946082,0.035436585532790055,0.020354721156763844,0.02899765132111048,,,,,0.011465096482424997,77.02993346820129
two_word_nbit_io_hidden_compute,base,quant_full,two_word,all_tasks,24,0.2452186558706065,0.18587633121491712,0.17807148816064,0.15883068406489495,0.00018750000890577212,0.0003554697000527699,0.0,0.0,0.23033470626008543,1547.5375306112815
two_word_nbit_io_only,base,quant_io,two_word,all_tasks,24,0.22389241897811493,0.1571195406219946,0.1564948014759769,0.1292531496679427,0.00029166667809477076,0.00041485112933207813,2.0833334322863568e-05,0.00010206207746365408,0.20900846936759385,1404.254077962284
