condition_name,loss_variant_name,experiment_mode,model_name,task,n,rmse_mean,rmse_std,mae_mean,mae_std,hi_word_accuracy_mean,hi_word_accuracy_std,lo_word_accuracy_mean,lo_word_accuracy_std,rmse_gap_abs_vs_upper,rmse_gap_pct_vs_upper
scalar_fp32_reference,base,float_full,scalar,all_tasks,40,0.023628438223386183,0.03187550775941074,0.0181643771531526,0.02662180411689144,,,,,0.0,0.0
scalar_nbit_io_hidden_compute,base,quant_full,scalar,all_tasks,40,0.03998226606054232,0.05614003944476243,0.03146994088892825,0.04594027907742341,,,,,0.016353827837156134,69.21247897362076
two_word_nbit_io_hidden_compute,base,quant_full,two_word,all_tasks,40,0.24720516232773662,0.20042353003921826,0.178736423375085,0.17877806370016872,0.0001500000071246177,0.00032423481477911805,0.0,0.0,0.22357672410435045,946.2187978343231
two_word_nbit_io_only,base,quant_io,two_word,all_tasks,40,0.2417888216674328,0.1785223145809414,0.17490412988699972,0.15147023414636332,0.0001500000071246177,0.0002819347212353536,2.5000001187436283e-05,0.00011036071917342876,0.21816038344404662,923.2958242162741
